feature,importance,mi_score,f_score,importance_norm,mi_norm,f_norm,combined_score
mouse_trajectory_entropy,0.3041479289021336,0.19851108085683622,37440.536071782066,1.0,1.0,1.0,1.0
behavior_diversity,0.21654041763224105,0.1907487024382477,29989.634635888575,0.7119575609601398,0.9608970018948885,0.8009937298544976,0.8133502439088717
comprehensive_risk_score,0.10577653899787087,0.17227126233208578,23605.32627379087,0.3477799088742335,0.867816857318538,0.630475114686768,0.5885995551512851
path_entropy,0.1198131664236951,0.16686340772683073,13199.115671217922,0.3939305681159107,0.8405747780254674,0.35253543501386303,0.5155052911581635
behavior_anomaly_score,0.04664394020538278,0.1633550601958088,14644.30182140729,0.1533593878930917,0.8229014697351756,0.39113493977038194,0.42555467800890395
timing_anomaly_score,0.06139502040756503,0.09448693783699369,23984.02669683258,0.2018590776836105,0.47597815411189326,0.6405898315892091,0.4157140267837749
request_frequency,0.04724912497972143,0.12395407005537873,8244.196993322737,0.15534915904334465,0.6244188965187938,0.22019441648796714,0.3155236575193661
risk_score_base,0.01541008417230961,0.10367604909714512,17011.141968900738,0.05066641166334606,0.5222683219981812,0.4543509189154367,0.3132523369394238
high_frequency,0.010985338814340622,0.07610786746305531,5466.84396763578,0.03611840742757581,0.3833935472747911,0.14601404096230328,0.17326963944215862
scroll_count,0.01349909463298974,0.08104224618507994,1944.1069384907566,0.04438331926742587,0.4082504907800417,0.05192518971318838,0.15580603185493938
click_count,0.010124039444383375,0.06945045836347696,1701.5278374428678,0.03328656381428463,0.3498568345087184,0.04544613982504551,0.13190551782584303
page_stay_time,0.009618247582431218,0.06469550329441964,1403.190589079559,0.0316235840143633,0.32590373804411077,0.03747784450493235,0.12166390837045825
phone_is_virtual,0.015170054159801341,0.03310353567846991,5421.051670951157,0.04987722327934262,0.16675913271735082,0.14479097362702717,0.11341592121505044
clicks_per_scroll,0.0013867237417677,0.05025145665954489,629.0942876662592,0.004559372627567389,0.25314182181993977,0.016802491461664484,0.08280704303550823
low_interaction,0.002363765239164895,0.02356236884411933,3091.112191608178,0.007771761746651542,0.11869548411311218,0.08256057513925039,0.0634855224743694
phone_segment,0.005867696105868201,0.035627091151368306,95.6134626517773,0.019292244162399882,0.17947154888075054,0.002553741817918003,0.062324484874560514
short_stay,0.003831557941386918,0.020932325241269645,1740.51564719313,0.012597678883487671,0.1054466337643176,0.04648746598756395,0.05061930147895953
scrolls_per_second,0.00481845388734002,0.027854515796275958,229.4578175326667,0.015842468185573163,0.14031718368590365,0.006128593273684533,0.050270720362105725
ip_reputation_score,0.00017039717910918416,0.004614595811944122,108.98145742002855,0.0005602444169988521,0.023246036402734177,0.0029107878479914437,0.008071145042017227
cluster_score,0.0001817020052202466,0.003908461509540828,205.69256173637206,0.0005974132583316498,0.019688883324148355,0.005493846598296894,0.007793784280066235
is_proxy_likely,9.03400663270531e-05,0.005015237369926595,0.009578962494612235,0.00029702673515860775,0.025264269119281677,2.5584469400350394e-07,0.007698168183256147
phone_device_count,0.00011089953536659961,0.0037375003527537753,141.47636413366297,0.0003646236742985813,0.018827666126351984,0.003778694938085834,0.006927757789050778
device_ip_count,0.0001219377386113147,0.0033885403654609902,141.47636413366297,0.00040091589330056195,0.0170697794341504,0.003778694938085834,0.006414908668991095
